product_name,description,brand,rating,image_url,link
Sanctuary Spa Charcoal Bubble Sheet Mask 22g,"Achieve a smoother, more refined complexion with ",Sanctuary Spa,4.88,https://static.thcdn.com/images/large/original//productimg/1600/1600/11794090-6414775635228494.jpg,https://www.lookfantastic.com/sanctuary-spa-charcoal-bubble-sheet-mask-22g/11794090.html
NIP+FAB Retinol Fix Sheet Mask 10g,Reveal a rejuvenated complexion with the ,NIP+FAB,5,https://static.thcdn.com/images/large/original/productimg/1600/1600/12192676-2764688573205177.jpg,https://www.lookfantastic.com/nip-fab-retinol-fix-sheet-mask-10g/12192676.html
NIOD Voicemail Masque 50ml,Restore a youthful appearance to skin with the ,NIOD,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11418894-1454625307930348.jpg,https://www.lookfantastic.com/niod-voicemail-masque-50ml/11418894.html
AHAVA Single Use Mud Mask 8ml,The ,AHAVA,5,https://static.thcdn.com/images/large/original/productimg/1600/1600/12054135-1474660543037955.jpg,https://www.lookfantastic.com/ahava-single-use-mud-mask-8ml/12054135.html
,description,brand,rating,image_url,https://www.lookfantastic.com/dr.jart-cicapair-tiger-grass-calming-mask/12273431.html
Origins Clear Improvement Charcoal Honey Mask to Purify and Nourish 75ml,Clear and clarify your complexion with the ,Origins,5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11862064-2034613879705751.jpg,https://www.lookfantastic.com/origins-clear-improvement-charcoal-honey-mask-to-purify-and-nourish-75ml/11862064.html
Vichy Quenching Mineral Mask Duo Sachet 2 x 6ml,presents the,Vichy,4.2,https://static.thcdn.com/images/large/original/productimg/1600/1600/11489285-9384501630876350.jpg,https://www.lookfantastic.com/vichy-quenching-mineral-mask-duo-sachet-2-x-6ml/11489285.html
MAGICSTRIPES Lifting Collagen Mask (1 Mask),Achieve a visible facelift with the ,MAGICSTRIPES,4.6,https://static.thcdn.com/images/large/original/productimg/1600/1600/11422050-1644492858057545.jpg,https://www.lookfantastic.com/magicstripes-lifting-collagen-mask-1-mask/11422050.html
Bulldog Oil Control Face Mask 100ml,Tackle excess sebum with the ,Bulldog Skincare for Men,5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11393163-1044461279451047.jpg,https://www.lookfantastic.com/bulldog-oil-control-face-mask-100ml/11393163.html
Filorga Hydra-Filler Mask 23g,Smooth the complexion with the ,Filorga,4.75,https://static.thcdn.com/images/large/original/productimg/1600/1600/11395502-1304455781205823.jpg,https://www.lookfantastic.com/filorga-hydra-filler-mask-23g/11395502.html
